Date,Close,High,Low,Open,Volume
2018-01-02,150.22210693359375,150.26001390247404,148.02312670603268,148.39278111946717,32573300
2018-01-03,151.6818084716797,151.81450459596132,150.3358865074538,150.3643203581718,29383600
2018-01-04,151.9471893310547,152.40214537123438,151.72919167095904,152.20310843112716,24776100
2018-01-05,153.47323608398438,153.5774983729714,152.38323307777054,152.6675860898074,26992300
2018-01-08,154.07032775878906,154.14615616912735,153.41632037456296,153.47318806661906,23159100
2018-01-09,154.079833984375,154.53479008134326,153.61540475762595,154.37366009830853,24782400
2018-01-10,153.71966552734375,153.74811384467054,152.7149640997603,153.3974055341179,34004000
2018-01-11,154.77174377441406,154.78123136669927,153.74809620312902,153.98505460556953,20473500
2018-01-12,155.90914916992188,156.07027914132195,154.44000424354283,154.63904119412246,37762700
2018-01-16,155.4636688232422,157.73846364449494,154.99922515950294,156.94228690333574,41231800
2018-01-17,157.141357421875,157.37831586898506,155.44474130419715,156.2030112275085,33849900
2018-01-18,157.1697540283203,157.52992091472206,156.52521974359584,156.89487422094967,26432200
2018-01-19,157.66261291503906,157.9185319966287,156.90434326097505,157.63417906850586,38937600
2018-01-22,159.34983825683594,159.34983825683594,157.42573650488757,157.60582726854352,26081400
2018-01-23,160.66726684570312,160.8094505620659,159.76682782657687,159.8426562494118,37989700
2018-01-24,159.6246795654297,161.35921700105814,158.70527970398518,161.0085086914755,54287400
2018-01-25,159.56776428222656,160.78098991983535,159.05592612907853,160.72412222788344,28925000
2018-01-26,162.01316833496094,162.0321290539717,160.14594970194736,160.45872202027394,32038200
2018-01-29,161.2264862060547,161.99422903686965,160.8852655631601,161.6719691138002,37277800
2018-01-30,159.8994903564453,160.5819315557879,159.06540680608532,159.7573211327447,44987700
2018-01-31,160.56301879882812,161.1222516589373,159.5583174171315,160.79997721763561,42449200
2018-02-01,159.19813537597656,160.87579040901403,158.6862971406691,159.33083149942797,38037900
2018-02-02,156.0228729248047,158.95167496706958,155.8901768133918,158.5725473524017,68478100
2018-02-05,149.8714141845703,157.10338773209534,149.75767880344534,154.5632011350369,105372200
2018-02-06,153.8428192138672,154.0323829795905,147.008949282,147.68190281973597,118537900
2018-02-07,151.8524169921875,155.0181775277299,151.84292940065149,153.34998125009454,91028300
2018-02-08,145.44508361816406,152.41166734954348,145.44508361816406,152.24104975673674,94184800
2018-02-09,147.9568328857422,149.03736262686346,142.29826505485116,147.50186233794878,113836600
2018-02-12,150.5823516845703,151.60601392755015,148.2980832106094,149.4733878703745,63050600
2018-02-13,151.3595733642578,151.66287264262783,149.49233972574558,149.7198250316195,31785600
2018-02-14,154.1935577392578,154.43051613101065,149.75770358778533,150.4685787630438,52107400
2018-02-15,157.05604553222656,157.05604553222656,153.96611279154968,155.57742723346345,51633900
2018-02-16,156.35459899902344,158.06068749392108,156.0891923497926,156.5441627803688,62256300
2018-02-20,156.66741943359375,157.98490764362418,155.73854649557074,155.80490179396935,36785600
2018-02-21,156.22195434570312,158.97066623726502,156.1271651924241,157.43518030114507,41161800
2018-02-22,156.20297241210938,157.7384581397299,155.8048840554223,156.90435998507564,37074400
2018-02-23,159.39715576171875,159.39715576171875,156.81904752024204,157.46358181200682,50096900
2018-02-26,161.51080322265625,161.51080322265625,160.01323919972177,160.14593529527758,39266700
2018-02-27,159.51089477539062,161.8236108500838,159.43508082197027,161.55821862473786,42209900
2018-02-28,158.4872589111328,160.94214440661983,158.38299663906076,160.42083304625956,42936300
2018-03-01,155.899658203125,159.30239163822753,154.49686859916835,158.57255575538582,76809900
2018-03-02,157.3308563232422,157.6057216194973,153.5110892412144,154.02291286495407,57445100
2018-03-05,159.07492065429688,159.48248217509507,156.0039344711269,156.59160115936658,38540200
2018-03-06,159.7478485107422,160.28812053700673,158.74314733501285,159.8521107721551,29480900
2018-03-07,160.1175079345703,160.2502185102771,158.25028922526062,158.52515457958796,34609400
2018-03-08,160.99900817871094,161.1127435771806,160.13647617286992,160.78101051071332,25828400
2018-03-09,164.12689208984375,164.12689208984375,161.90896463363384,162.1459230660356,38310500
2018-03-12,164.99891662597656,165.3780443769113,164.24064666131042,164.6103012804506,37635000
2018-03-13,162.75250244140625,166.06991980948163,162.3354533725158,165.37799091664425,55638900
2018-03-14,162.72402954101562,163.72874508370208,162.01315449813137,163.60552211484276,40536400
2018-03-15,162.58192443847656,163.52975820280642,161.9847845388542,162.83784360442834,28810400
2018-03-16,162.09848022460938,163.21691675040657,162.02265181328218,162.85674987509069,31176700
2018-03-19,158.63992309570312,160.65258527445582,157.25383485903592,160.53866537339556,71395100
2018-03-20,159.1620635986328,159.53231775860004,158.17472400080482,158.7063695139625,34075700
2018-03-21,158.46914672851562,160.21598744770856,157.77610933738475,158.74447267604668,43863500
2018-03-22,154.5576629638672,157.37729711046956,154.35828860088444,156.2760228372243,66607300
2018-03-23,150.48487854003906,155.03237635764344,150.40892707800853,154.37730767310777,80110400
2018-03-26,156.0766143798828,156.26650020267513,151.10191872581936,153.53230660051517,57481500
2018-03-27,151.02601623535156,157.23489931833987,149.69688747636073,157.23489931833987,78889100
2018-03-28,149.28863525390625,151.69054345711947,148.13988961981215,150.16205510177866,89369700
2018-03-29,152.02281188964844,153.52282009437877,148.70001275526283,150.09558955060515,68692600
