Date,Close,High,Low,Open,Volume
2018-01-02,99.45982360839844,100.2682501503202,99.1269449367094,100.25239532966319,16238200
2018-01-03,99.93538665771484,100.0225700493188,99.45984473332102,99.86405809013542,8605100
2018-01-04,99.91951751708984,99.99085211697503,99.36471972617126,99.58663884253869,9217900
2018-01-05,99.63420867919922,100.00671842420006,99.35680973510608,99.7610230804095,10915400
2018-01-08,99.57079315185547,99.88782308152565,99.20621084912982,99.85611948387434,8850600
2018-01-09,98.2392578125,98.93672476439492,98.128298260488,98.92086994448346,16226400
2018-01-10,98.12037658691406,98.22340872864433,97.21684535376545,97.33572626851496,14302600
2018-01-11,98.52461242675781,98.74653159458006,97.73204051491044,97.8905585253862,12511000
2018-01-12,98.69103240966797,98.90503017004836,98.20756920153872,98.35815372334581,9987100
2018-01-16,99.10318756103516,99.29340311712322,98.72275040201552,99.20621972749046,9125900
2018-01-17,98.96845245361328,99.57873013826597,98.75445466060006,99.13489182215491,8327000
2018-01-18,98.04903411865234,98.49287228965927,97.91429839485976,98.22340084207408,10843900
2018-01-19,97.53388214111328,97.93016803448278,97.47048099377473,97.80335969296283,11374300
2018-01-22,97.62899017333984,98.04905224094549,97.47839960312548,97.842981889101,8984700
2018-01-23,98.04903411865234,98.4373925182834,97.67652449076802,98.12829007106907,12325700
2018-01-24,97.51802825927734,97.58935681386404,97.12174238666009,97.36743769269317,9038900
2018-01-25,98.31851959228516,98.39777555113405,97.32780498956903,97.61313127889865,12173300
2018-01-26,97.95391082763672,98.20753951789912,97.56555247764382,98.18375729305643,6462900
2018-01-29,97.27230834960938,97.46252382723748,96.93150234348683,97.46252382723748,12223000
2018-01-30,96.70167541503906,96.98700171257131,96.45597407464938,96.91566711476713,12064400
2018-01-31,97.27230834960938,97.43082023982596,96.64617610362417,97.38326788212919,18045100
2018-02-01,95.8625717163086,97.31599910823871,95.80697643101556,97.27629165270461,18632800
2018-02-02,94.97306823730469,95.51313943981303,94.70302960633403,95.4257745350372,23944400
2018-02-05,95.87049102783203,96.75207751083025,94.22645251672755,94.64738900583964,28606200
2018-02-06,95.27482604980469,95.9975706419508,95.08421455516083,95.64016727263464,10935400
2018-02-07,94.36943817138672,95.56871483861154,94.16293879769165,95.40986683598774,16271100
2018-02-08,94.26622772216797,94.65539487407091,93.59907797375746,93.72615642466768,15155100
2018-02-09,93.6705093383789,94.58385944682269,93.55137487136385,93.80552557326165,15661600
2018-02-12,94.08349609375,94.75064543180167,93.86905891403038,94.16291704700059,10944600
2018-02-13,94.50446319580078,94.52035102725287,94.0279312625871,94.20266105196632,8157600
2018-02-14,93.45610809326172,94.14708346498959,93.29726610546454,94.08354424609735,12043300
