Date,Close,High,Low,Open,Volume
2018-01-02,236.56216430664062,236.5973784613616,235.35634139761444,235.74361651795525,86655700
2018-01-03,238.0584259033203,238.20806589594875,236.72936705656858,236.72936705656858,90070400
2018-01-04,239.06185913085938,239.54596651632667,238.12010198488656,238.70101473112751,80636400
2018-01-05,240.6549072265625,240.77811645182302,239.36106262844297,239.8539532505338,83524000
2018-01-08,241.0950927734375,241.25351621363447,240.2677345494723,240.5581775231667,57319200
2018-01-09,241.6407470703125,242.26565732120056,241.23585142785015,241.517510954642,57254000
2018-01-10,241.27102661132812,241.53509244774,240.21484384726023,240.8837515396786,69574300
2018-01-11,243.0313720703125,243.0313720703125,241.65831559560675,241.82554924347087,62361500
2018-01-12,244.6157684326172,244.7829752758909,242.99623921039304,243.2955193144502,90816100
2018-01-16,243.77951049804688,246.5256233589057,243.084172029904,245.87430929487635,106555100
2018-01-17,246.1031951904297,246.49047036797927,243.77957098566594,244.71254476961712,113258800
2018-01-18,245.6895294189453,246.41124506409105,245.19661178881137,245.9887826104511,100728000
2018-01-19,246.8072509765625,246.8072509765625,245.68945028064837,246.27033596729595,140920100
2018-01-22,248.8141632080078,248.8141632080078,246.54331957106353,246.59615425008542,91322400
2018-01-23,249.34217834472656,249.63262124165695,248.5324139857364,248.8580710358043,97084700
2018-01-24,249.24542236328125,250.58329198636795,248.06600304750637,249.98475864210113,134816100
2018-01-25,249.35092163085938,250.20468339855188,248.55877790611441,250.10787806865525,84587300
2018-01-26,252.23788452148438,252.28190892455098,249.93185459343374,250.18711017753503,107743100
2018-01-29,250.56564331054688,252.10593376676047,250.40721988157878,251.66585077927087,90118300
2018-01-30,247.99551391601562,250.61839069835986,247.52021688316722,248.7348499334868,131796400
2018-01-31,248.11875915527344,249.35098602984448,247.04495569446198,248.84931188627255,108364800
2018-02-01,247.83706665039062,249.1397216647866,247.044922826452,247.38820037112447,90102500
2018-02-02,242.44166564941406,246.64885684381446,242.4064514986019,246.51681049340058,173174800
2018-02-05,232.30218505859375,242.79377465444557,231.75648648531626,240.68138181637397,294681800
2018-02-06,236.87905883789062,237.38075985985745,227.6989347198052,228.79033186749533,355026800
2018-02-07,235.593994140625,239.72194707712518,235.5147555804733,236.32451994416607,167376100
2018-02-08,226.7571258544922,236.03408117347925,226.72191170053435,235.89325141817721,246449500
